d,caseno,tot,ctot
429,2141,1,760
429,2142,1,761
429,2143,1,762
429,2144,1,763
429,2145,1,764
429,2146,1,765
429,2147,1,766
429,2148,1,767
429,2149,1,768
429,2150,1,769
429,2151,1,770
429,2152,1,771
429,2153,1,772
429,2154,1,773
429,2155,1,774
429,2156,1,775
430,2169,1,776
430,2170,1,777
430,2171,1,778
430,2172,1,779
430,2173,1,780
430,2174,1,781
430,2175,1,782
430,2176,1,783
430,2177,1,784
430,2178,1,785
430,2179,1,786
430,2180,1,787
430,2181,1,788
430,2182,1,789
430,2183,1,790
430,2184,1,791
430,2185,1,792
430,2186,1,793
430,2187,1,794
430,2188,1,795
430,2189,1,796
430,2190,1,797
430,2191,1,798
430,2192,1,799
430,2193,1,800
430,2194,1,801
430,2195,1,802
430,2196,1,803
430,2197,1,804
430,2198,1,805
430,2199,1,806
430,2200,1,807
430,2201,1,808
430,2202,1,809
430,2203,1,810
430,2204,1,811
430,2205,1,812
430,2206,1,813
430,2207,1,814
430,2208,1,815
430,2209,1,816
430,2210,1,817
430,2211,1,818
430,2212,1,819
430,2213,1,820
430,2214,1,821
430,2215,1,822
430,2216,1,823
430,2217,1,824
430,2218,1,825
430,2219,1,826
430,2220,1,827
430,2221,1,828
430,2222,1,829
430,2223,1,830
430,2224,1,831
430,2225,1,832
430,2226,1,833
430,2227,1,834
430,2228,1,835
430,2229,1,836
430,2230,1,837
430,2231,1,838
430,2232,1,839
430,2233,1,840
430,2234,1,841
430,2235,1,842
430,2236,1,843
430,2237,1,844
430,2238,1,845
430,2239,1,846
430,2240,1,847
430,2241,1,848
430,2242,1,849
430,2243,1,850
430,2244,1,851
430,2245,1,852
430,2246,1,853
430,2247,1,854
430,2248,1,855
430,2249,1,856
430,2250,1,857
430,2251,1,858
430,2252,1,859
430,2253,1,860
430,2254,1,861
430,2255,1,862
430,2256,1,863
430,2257,1,864
430,2258,1,865
430,2259,1,866
430,2260,1,867
430,2261,1,868
430,2262,1,869
430,2263,1,870
430,2264,1,871
430,2265,1,872
430,2266,1,873
430,2267,1,874
430,2268,1,875
430,2269,1,876
430,2270,1,877
430,2271,1,878
430,2272,1,879
430,2273,1,880
430,2274,1,881
430,2275,1,882
430,2276,1,883
430,2277,1,884
430,2278,1,885
430,2279,1,886
430,2280,1,887
430,2281,1,888
430,2282,1,889
430,2283,1,890
430,2284,1,891
430,2285,1,892
430,2286,1,893
430,2287,1,894
430,2288,1,895
430,2289,1,896
430,2290,1,897
430,2291,1,898
430,2292,1,899
430,2293,1,900
430,2294,1,901
430,2295,1,902
430,2296,1,903
430,2297,1,904
430,2298,1,905
430,2299,1,906
430,2300,1,907
430,2301,1,908
430,2302,1,909
430,2303,1,910
430,2304,1,911
430,2305,1,912
430,2306,1,913
