#C. Arun Pandian, R. Santhi , R. Sundarrajan,T. Sureshkukar , K. Tamil Azhagan , K. Pandiarajan , S. Michael Rayappan , Kalai Arasu ,A. Ramasamy resigned on 21st February 2016
Const. No.,Constituency Name,District,Member Name,Party,Notes,Minister
176,Pattukottai,Thajnavur,N.R. Rengarajan,INC
177,Peravurani,Thanjavur,Vacant,
178,Gandarvakottai (SC),Pudukottai,N. Subramanian,AIADMK,,Minister Information Technology
179,Viralimalai,Pudukottai,C. Vijayabaskar,AIADMK
180,Pudukottai,Pudukottai,Karthik Thondaiman,AIADMK,Bye-election S.P Muthukumaran Expired on 1st April 2012
181,Thirumayam,Pudukottai,P.K. Vairamuthu,AIADMK
182,Alangudi,Pudukotttai,Ku.Pa. Krishnan,AIADMK
183,Aranthangi,Pudukottai,M. Rajanayagam,AIADMK
184,Karaikudi,Sivaganga,Cholan CT. Palanichamy,AIADMK
185,Thiruppathur,Sivaganga,KR. Periakaruppan,DMK
186,Sivaganga,Sivaganga,S. Gunasekaran,CPI
187,Manamadurai (SC),Sivaganga,M. Gunasekaran,AIADMK
188,Melur,Madurai,R. Samy,AIADMK
189,Madurai (East),Madurai,K. Tamilarasan,AIADMK
190,Sholavandan (SC),Madurai,M.V. Karuppiah,AIADMK
191,Madurai (North),Madurai,A.K. Bose,AIADMK
192,Madurai (South),Madurai,R. Annadurai,CPI(M)
193,Madurai (Central),Madurai,Vacant,
194,Madurai (West),Madurai,Sellur K. Raju,AIADMK,,Minister Cooperation
195,Thiruparankundram,Madurai,A.K.T. Raja,DMDK
196,Thirumangalam,Madurai,M. Muthuramalingam,AIADMK
197,Usilampatti,Madurai,P.V. Kathiravan,AIFB
198,Andipatti,Theni,Thangatamilselvan,AIADMK
199,Periyakulam (SC),Theni,A. Laser,CPI(M)
200,Bodinayakanur,Theni,O. Panneerselvam,AIADMK,,"Minister Finance,Legislative Assembly Department - Planning, Development and Special Initiatives Department"
201,Cumbum,Theni,N. Eramakrishnan,DMK
202,Rajayapalam,Virudhunagar,K. Gopalsamy,AIADMK
203,Srivilliputhur (SC),Virudhunagar,V. Ponnupandi,CPI
204,Sattur,Virudhunagar,R.B. Udhaya Kumar,AIADMK
205,Sivakasi,Virudhunagar,K.T. Rajenthra Bhalaji,AIADMK,,Minister of Special Programme Implementation
206,Virudhunagar,Virudhunagar,Vacant,
207,Aruppukottai,Virudhunagar,Vaigai Chelvan,AIADMK,,"Minister School Education,Sports and Youth Welfare,Tamil"
208,Thiruchuli,Virudhunagar,Thangam Thenarasu,DMK
209,Paramakudi (SC),Ramanathapuram,S. Sundararaj,AIADMK,,Minister Handlooms and Textiles
210,Tiruvadanai,Ramanathpuram,Suba. Thangavelan,DMK
211,Ramanathapuram,Ramanathapuram,M.H. Jawahirullah,MMK
212,Mudukulathur,Ramanathapuram,M. Murugan,AIADMK
213,Vilathikulam,Tuticorin,G.V. Markandayan,AIADMK
214,Thoothukudi,Thoothukudi,S.T. Chellapandian,AIADMK
215,Tiruchendur,Thoothukudi,Anitha R. Radhakrishnan,DMK
216,Srivaikuntam,Thoothukudi,S.P. Shunmuganathan,AIADMK,,Minister Tourism
217,Ottapidaram (SC),Thoothukudi,K. Krishnasamy,PT
218,Kovilpatti,Thoothukudi,Kadambur Raju,AIADMK
219,Sankarankoil (SC),Tirunelveli,S. Muthuselvi,AIADMK,Bye-election on demise of C. Karuppasamy.
220,Vasudevanallur (SC),Tirunelveli,S. Duraiappa,AIADMK
221,Kadayanallur,Tirunelveli,Vacant,,P. Chendur Pandian Expired on 11th July 2015,Minister Hindu Religious and Charitable Endowments
222,Tenkasi,Tirunelveli,R. Sarathkumar,AIADMK
223,Alangulam,Tirunelveli,P.G. Rajendran,AIADMK
224,Tirunelveli,Tirunelveli,Nainar Nagenthran,AIADMK
225,Ambasamudram,Tirunelveli,E. Subaya,AIADMK
226,Palayamkottai,Tirunelveli,T.P.M. Mohideenkhan,DMK
227,Nanguneri,Tirunelveli,A. Narayanan,AIADMK
228,Radhapuram,Tirunelveli,Vacant,
229,Kanniyakumari,Kanniyakumari,K.T. Patchaimal,AIADMK,,Minister Labour
230,Nagercoil,Kanniyakumari,A. Nanjil Murugesan,AIADMK
231,Colachel,Kanniyakumari,J.G. Prince,INC
232,Padmanabhapuram,Kanniyakumari,J. Pushpa Leela Alban,DMK
233,Vilavancode,Kanniyakumari,S. Vijayadharani,INC
234,Killiyoor,Kanniyakumari,S. John Jacob,INC
,NOMINATED-  Anglo-Indian,---,Nancy Ann Cynthia Francis,---
