Field,Award,Name,Year
Art,PS,Smt. Sudha Raghunathan,2004
Art,PS,Shri Haridwaramangalam A. Kumarvel Palanivel,2004
Civil Service,PB,Shri Gopichettipalayam Venkataramana Iyer Ramakrishna,2005
Art,PS,Smt. Krishnan Nair Santhakumari Chithra,2005
Medicine,PS,Dr. Govindaswamy Bakthavathsalam,2005
Art,PS,Shri Kunnakudi Ramaswami Sastri Vaidyanathan,2005
Medicine,PB,Dr. Jaiveer Agarwal,2006
Medicine,PB,Dr.(Ms.) V. Shanta,2006
Art,PB,Late (Smt.) Porayath Leela,2006
Trade & Ind.,PS,Shri Suresh Krishna,2006
Medicine,PS,Prof Mohan Kameswaran,2006
Art,PS,Smt. Gayatri Sankaran,2006
Art,PS,Ms. Shobana Chandrakumar,2006
Medicine,PS,Dr. B. Palaniappan,2006
Science & Eng.,PS,Prof. Ramachandran Balasubramanian,2006
Trade & Ind.,PB,Dr. N. Mahalingam,2007
Medicine,PS,Dr. P. Namperumalsamy,2007
Medicine,PS,Prof. Kallipatti Ramasamy Palaniswamy,2007
Litt. & Edu.,PS,Shri T.S. Rangarajan alias Kavignar Vaalee,2007
Medicine,PS,Prof. Mayil Vahanan Natarajan,2007
Science & Eng.,PS,Dr. Baldev Raj,2007
Art,PS,Smt. P.R. Thilagam,2007
Art,PS,Shri S. Dakshinamurthy Pillai,2007
Art,PS,Shri Valayapatti A.R. Subramaniyam,2007
Trade & Ind.,PS,Shri Anantharamakrishnan Sivasailam,2007
Trade & Ind.,PB,Shri Shiv Nadar,2008
Art,PB,Dr. (Smt.) P. Susheela,2008
Medicine,PS,Prof. Cannigaiper Uthamaroyan Velmurugendran,2008
Art,PS,Dr. Sirkazhi G. Siva Chidambaram,2008
Medicine,PS,Prof. (Dr.) Arjunan Rajasekaran,2008
Litt. & Edu.,PS,Dr. B. Sivanthi Adityan,2008
Art,PS,Smt. Meenakshi Sabanayagam Chitharanjan,2008
Litt. & Edu.,PB,Shri D. Jayakanthan,2009
Social Work,PB,Dr. Sarojini Varadappan,2009
Art,PB,Smt. Shanta Dhananjayan,2009
Science & Eng.,PB,Prof Conjeeveram Srirangachari Seshadri,2009
Art,PB,Shri V.P. Dhananjayan,2009
Art,PB,Dr. Vaidyanathan Ganapati Sthapati,2009
Medicine,PS,Prof. (Dr.) Thanikachalam Sadagopan,2009
Medicine,PS,Shri P.R. Krishna Kumar,2009
Medicine,PS,Dr. Shaik Khader Noordeen,2009
Art,PS,Smt. Aruna Sairam,2009
Art,PS,Shri Iravatham Mahadevan,2009
Trade & Ind.,PS,Shri A. Sakthivel,2009
Art,PS,Shri A. Vivekh,2009
Art,PS,Dr. S. Krishnaswamy,2009
